2020-02-25 4:38:10 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_91_4.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:42:09 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp7\htdocs\indiapackage\system\library\mail\mail.php on line 77
2020-02-25 4:43:06 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_b0_5.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:43:14 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp7\htdocs\indiapackage\system\library\mail\mail.php on line 77
2020-02-25 4:44:21 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp7\htdocs\indiapackage\system\library\mail\mail.php on line 77
2020-02-25 4:49:50 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_d8_5.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:53:10 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_f1_9.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:53:12 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_f2_21.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:58:11 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_104_5.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:58:13 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_105_1e.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:58:15 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_106_5.MAD' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:58:42 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_109_b.MAD' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 4:58:44 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_10a_11.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 5:00:21 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb0c_10e_5.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 7:10:28 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlaec_9c_c.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
